Old URL (fuelomat.cz),New URL (fluenix.eu),Notes
https://www.fuelomat.cz/,https://fluenix.eu/cs,Czech homepage → Czech Fluenix home
https://www.fuelomat.cz/kontakt/,https://fluenix.eu/cs/kontakt,Czech contact
https://www.fuelomat.cz/produkty/,https://fluenix.eu/cs/reseni-fluenix-fuel,Products → Fluenix Fuel solution
https://www.fuelomat.cz/vydejni-stojan/,https://fluenix.eu/cs/products/vydejni-stojan-s-cerpadlem,Dispensing stand → same product page
https://www.fuelomat.cz/sluzby/,https://fluenix.eu/cs,Services → homepage
https://www.fuelomat.cz/zasady-cookies/,https://fluenix.eu/cs/zasady-ochrany-osobnich-udaju,Cookies → privacy
https://www.fuelomat.cz/ochrana-osobnich-udaju/,https://fluenix.eu/cs/zasady-ochrany-osobnich-udaju,Personal data protection
https://www.fuelomat.cz/vseobecne-obchodni-podminky/,https://fluenix.eu/cs,Terms → homepage (no terms page yet)
https://www.fuelomat.cz/reklamacni-rad/,https://fluenix.eu/cs/kontakt,Complaints → contact
https://www.fuelomat.cz/en/,https://fluenix.eu/,English homepage
https://www.fuelomat.cz/en/contact/,https://fluenix.eu/contact,English contact
https://www.fuelomat.cz/en/products/,https://fluenix.eu/solutions-fluenix-fuel,Products EN → Fluenix Fuel solution
https://www.fuelomat.cz/en/services/,https://fluenix.eu/,Services EN → homepage
https://www.fuelomat.cz/en/cookie-policy/,https://fluenix.eu/privacy-policy,Cookies EN
https://www.fuelomat.cz/en/privacy-policy/,https://fluenix.eu/privacy-policy,Privacy EN
